loan_amount,annual_income,total_balance,total_credit_limit,total_monthly_debt,monthly_income,age,past_delinquencies,default
20795,61656,15873,26633,1602,5138.0,45,4,1
5860,97695,14016,44660,1097,8141.25,38,2,1
16284,67900,1153,13439,2159,5658.333333333333,26,3,1
11265,114899,8853,42172,3773,9574.916666666666,38,0,0
21850,77701,13379,45622,2185,6475.083333333333,36,0,0
26962,49033,16792,21577,3105,4086.0833333333335,35,2,0
21023,40805,39367,21763,2660,3400.4166666666665,28,3,1
6685,65851,19100,30176,3662,5487.583333333333,33,2,0
5769,56832,12049,34255,2688,4736.0,63,0,1
7433,93437,1786,29996,3860,7786.416666666667,27,1,0
10311,43944,5368,45386,2424,3662.0,37,1,0
22568,49873,31699,31062,1229,4156.083333333333,52,2,0
24769,70372,38040,45931,1088,5864.333333333333,42,1,0
33693,119464,28454,45710,2958,9955.333333333334,33,1,1
11396,45379,39762,44693,876,3781.5833333333335,43,2,1
32480,66751,24600,45740,1907,5562.583333333333,49,2,0
30658,119822,30238,21705,2369,9985.166666666666,42,1,1
23942,35110,26241,38047,3723,2925.8333333333335,21,0,1
23431,84341,20810,20966,1250,7028.416666666667,49,1,1
7747,42087,21167,27374,1126,3507.25,25,2,1
5189,53762,22811,21138,3890,4480.166666666667,55,2,1
24118,112617,21085,25935,3940,9384.75,30,1,1
6899,39596,10261,10489,2129,3299.6666666666665,39,0,1
6267,48313,19733,32260,1494,4026.0833333333335,57,3,1
36551,96549,30079,36069,2083,8045.75,27,4,1
16394,53705,34980,29275,1202,4475.416666666667,55,0,0
8556,97364,15141,46284,3009,8113.666666666667,33,2,0
8890,103445,10344,49178,2559,8620.416666666666,30,6,1
35740,108645,16896,42821,1679,9053.75,22,1,0
19502,32023,24817,26999,976,2668.5833333333335,26,3,1
26777,89796,30813,48712,3486,7483.0,28,1,1
15627,110073,19895,43722,900,9172.75,56,0,0
13792,94429,1143,20625,3355,7869.083333333333,45,1,0
13433,91627,11681,11629,2724,7635.583333333333,64,2,1
16016,63848,8367,20973,3912,5320.666666666667,60,1,1
28897,67804,4228,16859,556,5650.333333333333,27,2,1
7612,45379,5582,46046,2375,3781.5833333333335,43,1,0
28483,89664,14147,31839,947,7472.0,39,3,0
22159,57766,12397,37216,702,4813.833333333333,42,2,1
19541,98099,39799,28945,2156,8174.916666666667,33,2,0
31531,66060,38011,16539,1237,5505.0,41,3,1
6585,99122,14647,43625,701,8260.166666666666,21,0,0
8943,46087,28718,14886,1853,3840.5833333333335,39,2,1
28939,78868,20097,17485,2910,6572.333333333333,53,2,1
24457,53225,37953,41455,1391,4435.416666666667,24,2,0
6021,36643,18107,26767,3001,3053.5833333333335,62,5,1
16653,66727,4010,38453,2903,5560.583333333333,23,2,1
18417,41005,6555,20744,715,3417.0833333333335,47,0,0
14692,95697,1067,47102,3519,7974.75,61,2,1
11873,46029,29412,22226,3102,3835.75,55,4,1
10675,44226,35305,37869,3434,3685.5,48,0,1
5161,93646,12549,32588,522,7803.833333333333,26,1,0
31557,90603,6680,23440,2702,7550.25,26,3,1
38763,58731,26739,41709,1709,4894.25,64,1,0
37606,98926,22209,32495,2796,8243.833333333334,43,0,1
16534,35997,23432,47019,1248,2999.75,53,1,0
34127,85506,16116,10922,1304,7125.5,36,1,1
30851,108229,21045,37526,633,9019.083333333334,44,2,1
6016,79815,27327,17957,820,6651.25,25,0,0
29253,72092,36709,43998,2937,6007.666666666667,61,1,0
29276,92539,27905,34031,933,7711.583333333333,62,1,1
28247,96077,8067,20006,1545,8006.416666666667,33,2,1
29300,51817,33559,47701,1372,4318.083333333333,32,4,1
13529,67861,18985,35939,3696,5655.083333333333,25,2,1
22262,43428,28369,30324,3650,3619.0,57,0,1
14268,73934,18864,32867,3405,6161.166666666667,51,2,0
26271,40258,23614,10203,2598,3354.8333333333335,48,1,1
17185,87775,16613,26544,2723,7314.583333333333,48,1,0
26243,111580,7447,25899,3417,9298.333333333334,50,0,1
13571,35469,6499,39063,752,2955.75,38,1,0
